conc,cols,rows,impedance,prefocusing,cell,Qcenter = 2.5 μl/min
18.59797962287208,84.98493975903614,1434.433734939759,1.6531326465333565,Yes,Jurkat,Qside = 5 μl/min
19.71154985888466,125.37142857142857,1240.8920634920635,1.6616887077632474,Yes,Jurkat,Qside = 5 μl/min
19.83579930026786,128.80597014925374,1398.3432835820895,1.662643372133643,Yes,Jurkat,Qside = 5 μl/min
19.882110800013,129.74454828660436,659.3052959501557,1.66299920422636,Yes,Jurkat,Qside = 5 μl/min
20.325425707569067,140.26176470588234,101.76764705882353,1.6664053921528215,Yes,Jurkat,Qside = 5 μl/min
20.527773379380054,144.51325301204818,713.2939759036144,1.6679601203717975,Yes,Jurkat,Qside = 5 μl/min
20.4662469680881,143.17955801104972,970.7762430939226,1.6674873852669563,Yes,Jurkat,Qside = 5 μl/min
21.221297556031118,158.9718309859155,573.5469483568075,1.6732887787068873,Yes,Jurkat,Qside = 5 μl/min
21.749542762594835,169.09653916211292,1483.8415300546449,1.6773475243392593,Yes,Jurkat,Qside = 5 μl/min
22.968845547716285,190.54192229038856,1920.1002044989775,1.6867159763236006,Yes,Jurkat,Qside = 5 μl/min
23.128717629385996,193.28938906752413,519.7684887459807,1.6879443454695058,Yes,Jurkat,Qside = 5 μl/min
24.522244447907735,434.53978159126365,538.7176287051482,1.6986514391032765,Yes,Jurkat,Qside = 5 μl/min
21.533048155538477,476.90274841437633,1582.3213530655391,1.675684098850672,Yes,Jurkat,Qside = 5 μl/min
19.95928825808627,500.33850129198964,1737.9250645994832,1.663592193366593,Yes,Jurkat,Qside = 5 μl/min
18.973197315367912,103.23364485981308,37.74454828660436,1.6560156129127634,Yes,Jurkat,Qside = 5 μl/min
19.330283458779842,115.22772277227723,894.1980198019802,1.658759266441362,Yes,Jurkat,Qside = 5 μl/min
19.835484651680943,129.4151515151515,1080.5666666666666,1.6626409545469578,Yes,Jurkat,Qside = 5 μl/min
20.48772917195622,144.35555555555555,1122.774358974359,1.6676524427062671,Yes,Jurkat,Qside = 5 μl/min
21.443074416377073,163.54982817869416,1899.4868270332188,1.6749927901245125,Yes,Jurkat,Qside = 5 μl/min
21.921694011612257,172.32929782082326,1071.3704600484261,1.6786702398535223,Yes,Jurkat,Qside = 5 μl/min
21.997138721040937,173.8544600938967,1273.2723004694835,1.679249915506182,Yes,Jurkat,Qside = 5 μl/min
22.482814456285944,182.26481481481483,599.4592592592593,1.6829815807341502,Yes,Jurkat,Qside = 5 μl/min
23.21138807805575,194.6451612903226,1045.884792626728,1.6885795397283374,Yes,Jurkat,Qside = 5 μl/min
23.524674393818668,199.86160714285714,836.1852678571429,1.690986659471186,Yes,Jurkat,Qside = 5 μl/min
