Left	Top	Right	Bottom	Rotation	CenterOfMassX	CenterOfMassY	FirstPixelY	Area	Mean Intensity	Standard  Deviation	Minimum Intensity	Maximum Intensity
1650.000000	535.000000	1670.000000	552.000000	0.000000	1659.528000	542.600000	535.000000	250.000000	0.189144	0.018807	0.143465	0.238419
1717.000000	544.000000	1733.000000	559.000000	0.000000	1724.431034	551.752874	544.000000	174.000000	0.168577	0.017788	0.127154	0.210244
2025.000000	554.000000	2035.000000	564.000000	0.000000	2029.896552	559.206897	554.000000	58.000000	0.188981	0.016739	0.148820	0.238589
112.000000	560.000000	123.000000	571.000000	0.000000	116.393939	564.545455	560.000000	66.000000	0.127911	0.012244	0.100331	0.158470
812.000000	81.000000	829.000000	97.000000	0.000000	819.709845	88.512953	81.000000	193.000000	0.168500	0.013591	0.128457	0.206689
1406.000000	85.000000	1422.000000	100.000000	0.000000	1413.289941	92.597633	85.000000	169.000000	0.176003	0.013610	0.142646	0.214678
1039.000000	92.000000	1050.000000	103.000000	0.000000	1044.087719	97.298246	92.000000	57.000000	0.188051	0.013642	0.151798	0.221258
1293.000000	92.000000	1309.000000	107.000000	0.000000	1300.580460	98.942529	92.000000	174.000000	0.194980	0.014032	0.153024	0.235491
60.000000	96.000000	74.000000	110.000000	0.000000	67.408000	103.608000	96.000000	125.000000	0.210457	0.019803	0.170370	0.269596
865.000000	102.000000	897.000000	127.000000	0.000000	880.357422	113.601562	102.000000	512.000000	0.232880	0.024556	0.176823	0.295942
1430.000000	103.000000	1450.000000	120.000000	0.000000	1439.027668	111.541502	103.000000	253.000000	0.222258	0.018565	0.167491	0.272084
1355.000000	104.000000	1377.000000	121.000000	0.000000	1365.294340	112.290566	104.000000	265.000000	0.235016	0.020398	0.183122	0.284843
1518.000000	108.000000	1540.000000	124.000000	0.000000	1528.644788	115.779923	108.000000	259.000000	0.234102	0.018116	0.191847	0.281094
5.000000	124.000000	38.000000	146.000000	0.000000	21.317778	134.062222	124.000000	450.000000	0.315031	0.032047	0.212969	0.410412
419.000000	125.000000	440.000000	142.000000	0.000000	429.429078	132.921986	125.000000	282.000000	0.285738	0.021485	0.220704	0.349636
1450.000000	126.000000	1477.000000	148.000000	0.000000	1463.160000	136.388889	126.000000	450.000000	0.309478	0.028094	0.247606	0.376296
1245.000000	132.000000	1274.000000	154.000000	0.000000	1258.971487	142.474542	132.000000	491.000000	0.347050	0.031773	0.262269	0.430574
126.000000	134.000000	147.000000	152.000000	0.000000	136.302491	142.338078	134.000000	281.000000	0.344763	0.029384	0.272330	0.421887
387.000000	142.000000	411.000000	160.000000	0.000000	398.110063	150.408805	142.000000	318.000000	0.356965	0.025737	0.287998	0.430564
318.000000	508.000000	338.000000	524.000000	0.000000	327.568889	516.671111	508.000000	225.000000	0.302933	0.022219	0.247890	0.359309
714.000000	509.000000	739.000000	527.000000	0.000000	725.984520	517.052632	509.000000	323.000000	0.289872	0.026246	0.218812	0.352434
490.000000	512.000000	508.000000	528.000000	0.000000	498.988827	519.960894	512.000000	179.000000	0.286400	0.023463	0.231696	0.342612
42.000000	517.000000	62.000000	533.000000	0.000000	51.464286	524.303571	517.000000	224.000000	0.251156	0.023678	0.194379	0.305991
924.000000	520.000000	943.000000	536.000000	0.000000	932.686099	527.363229	520.000000	223.000000	0.236605	0.018624	0.187916	0.280534
688.000000	521.000000	707.000000	536.000000	0.000000	697.229665	527.760766	521.000000	209.000000	0.249608	0.021532	0.190047	0.307516
1090.000000	521.000000	1107.000000	535.000000	0.000000	1097.844311	527.401198	521.000000	167.000000	0.228874	0.019567	0.179211	0.277490
538.000000	522.000000	557.000000	538.000000	0.000000	546.671429	529.990476	522.000000	210.000000	0.255733	0.027705	0.199507	0.333731
1290.000000	524.000000	1305.000000	536.000000	0.000000	1297.270833	530.125000	524.000000	96.000000	0.230623	0.018464	0.189906	0.289503
1711.000000	526.000000	1732.000000	542.000000	0.000000	1721.008439	533.451477	526.000000	237.000000	0.233145	0.021121	0.182870	0.289275
70.000000	530.000000	91.000000	547.000000	0.000000	79.970954	537.248963	530.000000	241.000000	0.204690	0.020398	0.152669	0.252788
1360.000000	80.000000	1377.000000	96.000000	0.000000	1367.805405	88.021622	80.000000	185.000000	0.170237	0.013265	0.128957	0.206491
1810.000000	82.000000	1824.000000	94.000000	0.000000	1816.192308	88.250000	82.000000	104.000000	0.174803	0.012989	0.146560	0.207715
622.000000	89.000000	639.000000	104.000000	0.000000	630.155556	96.272222	89.000000	180.000000	0.181919	0.013955	0.140446	0.223692
377.000000	91.000000	395.000000	107.000000	0.000000	385.852535	98.824885	91.000000	217.000000	0.190782	0.016608	0.150138	0.237593
2004.000000	93.000000	2041.000000	117.000000	0.000000	2023.242236	104.956522	93.000000	483.000000	0.253578	0.026584	0.185276	0.323734
757.000000	96.000000	774.000000	111.000000	0.000000	764.552632	103.515789	96.000000	190.000000	0.198517	0.014945	0.156591	0.239678
722.000000	100.000000	740.000000	114.000000	0.000000	730.699454	106.661202	100.000000	183.000000	0.207368	0.015366	0.170382	0.245223
455.000000	101.000000	479.000000	119.000000	0.000000	466.055901	109.661491	101.000000	322.000000	0.213795	0.016741	0.173628	0.261515
304.000000	102.000000	320.000000	114.000000	0.000000	311.742424	108.068182	102.000000	132.000000	0.214215	0.015841	0.172247	0.262665
1361.000000	105.000000	1388.000000	138.000000	0.000000	1375.254717	123.094340	105.000000	530.000000	0.255793	0.032945	0.182484	0.338692
1560.000000	105.000000	1567.000000	111.000000	0.000000	1563.129032	107.290323	105.000000	31.000000	0.210584	0.012142	0.186082	0.237039
1265.000000	108.000000	1283.000000	123.000000	0.000000	1273.238095	115.613757	108.000000	189.000000	0.238624	0.018602	0.198113	0.288154
81.000000	113.000000	100.000000	129.000000	0.000000	89.814229	120.584980	113.000000	253.000000	0.260761	0.023026	0.201446	0.335729
1133.000000	113.000000	1150.000000	126.000000	0.000000	1140.886525	118.773050	113.000000	141.000000	0.250765	0.017409	0.202465	0.290306
1944.000000	113.000000	1967.000000	132.000000	0.000000	1954.938849	122.039568	113.000000	278.000000	0.286808	0.025462	0.223138	0.353780
1218.000000	114.000000	1238.000000	130.000000	0.000000	1227.792952	121.480176	114.000000	227.000000	0.260859	0.021044	0.204142	0.314499
1738.000000	124.000000	1758.000000	139.000000	0.000000	1747.182609	131.186957	124.000000	230.000000	0.289531	0.020023	0.228271	0.345073
1316.000000	126.000000	1334.000000	139.000000	0.000000	1324.369128	132.718121	126.000000	149.000000	0.295527	0.020017	0.241162	0.341810
950.000000	149.000000	978.000000	170.000000	0.000000	963.610973	159.314214	149.000000	401.000000	0.417802	0.033908	0.332248	0.522203
97.000000	504.000000	110.000000	519.000000	0.000000	103.544715	511.268293	504.000000	123.000000	0.305448	0.024609	0.239635	0.376631
1401.000000	514.000000	1423.000000	529.000000	0.000000	1411.648000	520.876000	514.000000	250.000000	0.269691	0.021843	0.212192	0.326548
1559.000000	537.000000	1587.000000	564.000000	0.000000	1572.091537	549.417962	537.000000	579.000000	0.172954	0.024419	0.113140	0.237751
1178.000000	538.000000	1197.000000	557.000000	0.000000	1186.683128	547.530864	538.000000	243.000000	0.172992	0.018067	0.124005	0.221694
755.000000	540.000000	773.000000	557.000000	0.000000	763.319444	547.782407	540.000000	216.000000	0.177360	0.016715	0.136628	0.225880
1400.000000	544.000000	1416.000000	560.000000	0.000000	1406.795181	551.644578	544.000000	166.000000	0.168786	0.015527	0.126433	0.202468
1931.000000	544.000000	1945.000000	558.000000	0.000000	1938.031496	549.448819	544.000000	127.000000	0.184623	0.018054	0.142366	0.229527
1605.000000	87.000000	1618.000000	98.000000	0.000000	1611.043956	92.318681	87.000000	91.000000	0.172178	0.011665	0.147695	0.203463
911.000000	88.000000	921.000000	97.000000	0.000000	915.514286	91.685714	88.000000	70.000000	0.172067	0.011945	0.150039	0.213218
924.000000	90.000000	944.000000	107.000000	0.000000	933.484375	97.613281	90.000000	256.000000	0.186603	0.015695	0.149032	0.226166
767.000000	91.000000	788.000000	111.000000	0.000000	776.422535	100.387324	91.000000	284.000000	0.192000	0.014331	0.152682	0.242314
1349.000000	93.000000	1375.000000	115.000000	0.000000	1362.037688	103.917085	93.000000	398.000000	0.200187	0.018205	0.155992	0.254842
1109.000000	94.000000	1126.000000	107.000000	0.000000	1117.073171	100.036585	94.000000	164.000000	0.192737	0.013617	0.158863	0.243722
1503.000000	94.000000	1525.000000	113.000000	0.000000	1513.344051	103.122186	94.000000	311.000000	0.194934	0.016687	0.160603	0.239942
133.000000	96.000000	141.000000	105.000000	0.000000	136.255814	99.674419	96.000000	43.000000	0.194344	0.014860	0.163350	0.225000
675.000000	96.000000	698.000000	116.000000	0.000000	685.512579	105.748428	96.000000	318.000000	0.197578	0.017800	0.156284	0.247677
232.000000	103.000000	252.000000	121.000000	0.000000	241.258687	111.471042	103.000000	259.000000	0.222426	0.020266	0.167306	0.279519
597.000000	112.000000	618.000000	129.000000	0.000000	607.178571	119.853175	112.000000	252.000000	0.232431	0.019187	0.191747	0.278292
641.000000	112.000000	662.000000	129.000000	0.000000	650.810606	119.958333	112.000000	264.000000	0.232441	0.018873	0.189485	0.287158
1787.000000	114.000000	1808.000000	132.000000	0.000000	1796.900735	122.786765	114.000000	272.000000	0.257166	0.021245	0.202848	0.321656
100.000000	144.000000	125.000000	166.000000	0.000000	111.911695	154.797136	144.000000	419.000000	0.382843	0.032944	0.310559	0.474239
1142.000000	498.000000	1167.000000	518.000000	0.000000	1154.000000	507.667582	498.000000	364.000000	0.303818	0.029187	0.231412	0.384369
92.000000	509.000000	112.000000	527.000000	0.000000	101.866109	517.744770	509.000000	239.000000	0.271574	0.024382	0.204343	0.347494
1624.000000	515.000000	1643.000000	530.000000	0.000000	1633.299559	522.215859	515.000000	227.000000	0.269207	0.022436	0.219943	0.338190
577.000000	528.000000	595.000000	545.000000	0.000000	585.298165	535.756881	528.000000	218.000000	0.216957	0.020772	0.168811	0.281428
959.000000	545.000000	980.000000	563.000000	0.000000	968.805447	552.863813	545.000000	257.000000	0.146842	0.015427	0.110367	0.201526
559.000000	568.000000	575.000000	583.000000	0.000000	566.248619	574.922652	568.000000	181.000000	0.118065	0.011181	0.091341	0.152509
1747.000000	84.000000	1792.000000	112.000000	0.000000	1767.856540	99.376934	84.000000	711.000000	0.192331	0.022641	0.137190	0.254184
565.000000	87.000000	585.000000	104.000000	0.000000	574.783333	95.275000	87.000000	240.000000	0.182087	0.014468	0.145765	0.234475
858.000000	87.000000	880.000000	107.000000	0.000000	869.219745	96.761146	87.000000	314.000000	0.188908	0.016301	0.148620	0.231530
1509.000000	93.000000	1528.000000	109.000000	0.000000	1517.946860	100.961353	93.000000	207.000000	0.197233	0.016457	0.149290	0.243780
1913.000000	94.000000	1934.000000	111.000000	0.000000	1923.137795	101.708661	94.000000	254.000000	0.215874	0.019817	0.172286	0.273406
293.000000	95.000000	312.000000	111.000000	0.000000	302.241860	102.865116	95.000000	215.000000	0.207198	0.018217	0.169176	0.269762
1174.000000	95.000000	1195.000000	112.000000	0.000000	1184.204633	102.949807	95.000000	259.000000	0.206228	0.016074	0.169887	0.252085
740.000000	102.000000	765.000000	122.000000	0.000000	751.724936	112.035990	102.000000	389.000000	0.224485	0.019213	0.174256	0.281795
465.000000	103.000000	483.000000	119.000000	0.000000	473.405660	110.183962	103.000000	212.000000	0.220339	0.016356	0.180523	0.267059
85.000000	104.000000	105.000000	119.000000	0.000000	94.888889	111.164251	104.000000	207.000000	0.232101	0.019379	0.171336	0.292164
227.000000	107.000000	248.000000	122.000000	0.000000	236.683544	114.160338	107.000000	237.000000	0.237197	0.018278	0.191193	0.279605
435.000000	107.000000	458.000000	125.000000	0.000000	446.200647	115.271845	107.000000	309.000000	0.233967	0.019578	0.184097	0.287346
1820.000000	107.000000	1839.000000	121.000000	0.000000	1829.063158	113.721053	107.000000	190.000000	0.238555	0.017224	0.196573	0.285989
1347.000000	108.000000	1364.000000	122.000000	0.000000	1354.706897	113.919540	108.000000	174.000000	0.237309	0.017143	0.193963	0.279249
1072.000000	110.000000	1099.000000	129.000000	0.000000	1085.034913	119.291771	110.000000	401.000000	0.253187	0.022421	0.191555	0.306633
11.000000	111.000000	33.000000	131.000000	0.000000	21.745342	119.959627	111.000000	322.000000	0.265422	0.028220	0.206206	0.349741
881.000000	111.000000	904.000000	127.000000	0.000000	892.670175	118.866667	111.000000	285.000000	0.257661	0.021632	0.199949	0.309741
1766.000000	113.000000	1789.000000	132.000000	0.000000	1777.315436	122.097315	113.000000	298.000000	0.261607	0.023115	0.204774	0.320274
517.000000	124.000000	541.000000	143.000000	0.000000	528.135294	133.270588	124.000000	340.000000	0.286757	0.023369	0.232729	0.349623
1627.000000	515.000000	1651.000000	532.000000	0.000000	1638.593750	522.737500	515.000000	320.000000	0.271136	0.024084	0.216571	0.337159
923.000000	538.000000	943.000000	554.000000	0.000000	932.802691	545.502242	538.000000	223.000000	0.176240	0.016188	0.140508	0.221254
23.000000	540.000000	40.000000	554.000000	0.000000	30.335443	546.721519	540.000000	158.000000	0.182703	0.020151	0.133479	0.236047
1802.000000	545.000000	1821.000000	560.000000	0.000000	1810.974619	552.000000	545.000000	197.000000	0.170492	0.017548	0.124269	0.217422
742.000000	546.000000	756.000000	560.000000	0.000000	748.682927	551.585366	546.000000	123.000000	0.173984	0.015875	0.124851	0.215675
1959.000000	550.000000	1976.000000	566.000000	0.000000	1966.846154	556.664835	550.000000	182.000000	0.172087	0.017681	0.131833	0.213866
858.000000	85.000000	872.000000	99.000000	0.000000	864.582090	91.746269	85.000000	134.000000	0.174178	0.012117	0.136137	0.203526
522.000000	87.000000	540.000000	104.000000	0.000000	530.451163	95.241860	87.000000	215.000000	0.175550	0.013893	0.134777	0.217000
