conc,cols,rows,impedance,prefocusing,cell,Qcenter/Qside = 0.5
18.59797962287208,84.98493975903614,1434.433734939759,1.6531326465333565,Yes,Jurkat,Qcenter = 2.5 μl/min
19.71154985888466,125.37142857142857,1240.8920634920635,1.6616887077632474,Yes,Jurkat,Qcenter = 2.5 μl/min
19.83579930026786,128.80597014925374,1398.3432835820895,1.662643372133643,Yes,Jurkat,Qcenter = 2.5 μl/min
19.882110800013,129.74454828660436,659.3052959501557,1.66299920422636,Yes,Jurkat,Qcenter = 2.5 μl/min
20.325425707569067,140.26176470588234,101.76764705882353,1.6664053921528215,Yes,Jurkat,Qcenter = 2.5 μl/min
20.527773379380054,144.51325301204818,713.2939759036144,1.6679601203717975,Yes,Jurkat,Qcenter = 2.5 μl/min
20.4662469680881,143.17955801104972,970.7762430939226,1.6674873852669563,Yes,Jurkat,Qcenter = 2.5 μl/min
21.221297556031118,158.9718309859155,573.5469483568075,1.6732887787068873,Yes,Jurkat,Qcenter = 2.5 μl/min
21.749542762594835,169.09653916211292,1483.8415300546449,1.6773475243392593,Yes,Jurkat,Qcenter = 2.5 μl/min
22.968845547716285,190.54192229038856,1920.1002044989775,1.6867159763236006,Yes,Jurkat,Qcenter = 2.5 μl/min
23.128717629385996,193.28938906752413,519.7684887459807,1.6879443454695058,Yes,Jurkat,Qcenter = 2.5 μl/min
24.522244447907735,434.53978159126365,538.7176287051482,1.6986514391032765,Yes,Jurkat,Qcenter = 2.5 μl/min
21.533048155538477,476.90274841437633,1582.3213530655391,1.675684098850672,Yes,Jurkat,Qcenter = 2.5 μl/min
19.95928825808627,500.33850129198964,1737.9250645994832,1.663592193366593,Yes,Jurkat,Qcenter = 2.5 μl/min
18.973197315367912,103.23364485981308,37.74454828660436,1.6560156129127634,Yes,Jurkat,Qcenter = 2.5 μl/min
19.330283458779842,115.22772277227723,894.1980198019802,1.658759266441362,Yes,Jurkat,Qcenter = 2.5 μl/min
19.835484651680943,129.4151515151515,1080.5666666666666,1.6626409545469578,Yes,Jurkat,Qcenter = 2.5 μl/min
20.48772917195622,144.35555555555555,1122.774358974359,1.6676524427062671,Yes,Jurkat,Qcenter = 2.5 μl/min
21.443074416377073,163.54982817869416,1899.4868270332188,1.6749927901245125,Yes,Jurkat,Qcenter = 2.5 μl/min
21.921694011612257,172.32929782082326,1071.3704600484261,1.6786702398535223,Yes,Jurkat,Qcenter = 2.5 μl/min
21.997138721040937,173.8544600938967,1273.2723004694835,1.679249915506182,Yes,Jurkat,Qcenter = 2.5 μl/min
22.482814456285944,182.26481481481483,599.4592592592593,1.6829815807341502,Yes,Jurkat,Qcenter = 2.5 μl/min
23.21138807805575,194.6451612903226,1045.884792626728,1.6885795397283374,Yes,Jurkat,Qcenter = 2.5 μl/min
23.524674393818668,199.86160714285714,836.1852678571429,1.690986659471186,Yes,Jurkat,Qcenter = 2.5 μl/min
23.68251411390642,202.571072319202,335.42394014962593,1.6921994130684943,Yes,Jurkat,Qcenter = 2.5 μl/min
20.86261557537038,486.6796875,1147.6484375,1.6705328636425796,Yes,Jurkat,Qcenter = 2.5 μl/min
20.90482329864491,485.984756097561,1710.6006097560976,1.6708571645739732,Yes,Jurkat,Qcenter = 2.5 μl/min
20.52487775658051,491.51705565529625,445.77558348294434,1.6679378719987985,Yes,Jurkat,Qcenter = 2.5 μl/min
20.41716248562455,493.1856148491879,333.6078886310905,1.6671102471001717,Yes,Jurkat,Qcenter = 2.5 μl/min
19.98289271864571,499.8355263157895,1277.6644736842106,1.6637735570590784,Yes,Jurkat,Qcenter = 2.5 μl/min
19.31913964985361,510.659509202454,2028.3251533742332,1.6586736435426679,Yes,Jurkat,Qcenter = 2.5 μl/min
18.703654727581085,92.7090395480226,1175.861581920904,1.6539445959166328,Yes,Jurkat,Qcenter = 2.5 μl/min
18.796011825772574,95.96787148594377,505.3835341365462,1.654654217062732,Yes,Jurkat,Qcenter = 2.5 μl/min
19.105519765181892,107.87113402061856,1974.1469072164948,1.6570323058397867,Yes,Jurkat,Qcenter = 2.5 μl/min
19.691683036843756,125.06581059390048,1333.5361155698233,1.661536062029437,Yes,Jurkat,Qcenter = 2.5 μl/min
20.054551823737313,133.9205298013245,1265.0331125827815,1.6643241462100944,Yes,Jurkat,Qcenter = 2.5 μl/min
20.21592151653701,137.8909853249476,1652.3857442348008,1.6655640221762362,Yes,Jurkat,Qcenter = 2.5 μl/min
22.02739557869112,470.65843621399176,626.3065843621399,1.6794823925590943,Yes,Jurkat,Qcenter = 2.5 μl/min
21.711167117001708,475.1740412979351,28.23008849557522,1.6770526669851267,Yes,Jurkat,Qcenter = 2.5 μl/min
21.659009813909865,476.07799442896936,177.35376044568244,1.6766519189546858,Yes,Jurkat,Qcenter = 2.5 μl/min
21.215074580281737,482.3761261261261,831.2072072072073,1.6732409647838657,Yes,Jurkat,Qcenter = 2.5 μl/min
18.908539920572643,518.3777777777777,1733.920987654321,1.6555188210527236,Yes,Jurkat,Qcenter = 2.5 μl/min
18.46846785235886,526.429022082019,529.1798107255521,1.6521375493202066,Yes,Jurkat,Qcenter = 2.5 μl/min
17.88603762737115,538.7594936708861,301.73417721518985,1.6476624758080247,Yes,Jurkat,Qcenter = 2.5 μl/min
17.84454612088715,539.7532894736842,1304.1019736842106,1.6473436778925303,Yes,Jurkat,Qcenter = 2.5 μl/min
16.978751664221022,565.28664495114,583.0032573289902,1.640691389474459,Yes,Jurkat,Qcenter = 2.5 μl/min
