conc,cols,rows,impedance,prefocusing,cell,Qcenter = 7.5 μl/min
13.360799296018543,172.05263157894737,273.65204678362574,1.6128930333509937,No,Jurkat,Qside = 15 μl/min
16.505027088053115,209.95245398773005,1824.0567484662577,1.6370515503797016,No,Jurkat,Qside = 15 μl/min
16.964617340371284,214.56306892067622,1058.3979193758128,1.6405827891038756,No,Jurkat,Qside = 15 μl/min
17.102578936171664,215.8415300546448,710.9908925318762,1.641642810127128,No,Jurkat,Qside = 15 μl/min
17.027419379524076,215.15384615384616,1147.3389423076924,1.641065325431604,No,Jurkat,Qside = 15 μl/min
18.806982379648257,231.17490774907748,938.6214022140222,1.6547385087649082,No,Jurkat,Qside = 15 μl/min
18.744121922681614,230.60329444063143,598.5648592999314,1.654255523586828,No,Jurkat,Qside = 15 μl/min
18.6213217615759,229.50455927051672,20.486322188449847,1.6533119946889803,No,Jurkat,Qside = 15 μl/min
18.70044741706434,230.20454545454547,1251.842803030303,1.6539199527066428,No,Jurkat,Qside = 15 μl/min
21.09832602689804,250.36018237082067,1956.0927051671733,1.6723439331113696,No,Jurkat,Qside = 15 μl/min
20.872824454317737,248.48677248677248,1720.042328042328,1.6706113030535275,No,Jurkat,Qside = 15 μl/min
22.59388190338477,263.0239467849224,1770.7977827050997,1.6838349619105615,No,Jurkat,Qside = 15 μl/min
22.312535837851765,260.63548387096773,1037.7903225806451,1.681673253483342,No,Jurkat,Qside = 15 μl/min
22.264502120173898,260.197218710493,140.30214917825538,1.68130418881525,No,Jurkat,Qside = 15 μl/min
22.358721389059568,261.0502369668246,1380.0947867298578,1.6820281178567698,No,Jurkat,Qside = 15 μl/min
22.388532144753597,261.2904411764706,488.38235294117646,1.6822571673076068,No,Jurkat,Qside = 15 μl/min
24.32706257689089,278.23132969034606,1279.379781420765,1.6971517689564122,No,Jurkat,Qside = 15 μl/min
21.302674464959544,410.67083333333335,1518.25,1.6739140341177934,No,Jurkat,Qside = 15 μl/min
20.521318925646703,417.122754491018,1955.7395209580839,1.66791052789926,No,Jurkat,Qside = 15 μl/min
19.293610600529814,427.4278215223097,758.509186351706,1.6584774923686407,No,Jurkat,Qside = 15 μl/min
18.62900562126925,433.1448663853727,1829.084388185654,1.653371033240741,No,Jurkat,Qside = 15 μl/min
18.51356760730656,434.03921568627453,999.0926916221034,1.6524840710323594,No,Jurkat,Qside = 15 μl/min
18.25326572303078,436.3649068322981,1311.6739130434783,1.6504840545196207,No,Jurkat,Qside = 15 μl/min
18.317910016469988,435.76906779661016,265.2055084745763,1.6509807457160461,No,Jurkat,Qside = 15 μl/min
16.76247270299596,449.92923076923074,167.19692307692307,1.6390296208898343,No,Jurkat,Qside = 15 μl/min
15.975552522818845,457.8310291858679,1532.867895545315,1.6329833590314522,No,Jurkat,Qside = 15 μl/min
15.680875203546297,460.9436090225564,1866.3558897243108,1.6307192205826877,No,Jurkat,Qside = 15 μl/min
15.41137433526424,463.88990825688074,1012.7775229357799,1.628648524136286,No,Jurkat,Qside = 15 μl/min
13.962138968020449,182.30263157894737,1107.9368421052632,1.6175133966538366,No,Jurkat,Qside = 15 μl/min
14.867449581850314,193.86885245901638,972.2552693208431,1.6244693054896677,No,Jurkat,Qside = 15 μl/min
14.900759136587087,194.268156424581,165.14804469273744,1.6247252377880101,No,Jurkat,Qside = 15 μl/min
16.379614280806226,210.32374100719426,1485.6388489208632,1.6360879473458605,No,Jurkat,Qside = 15 μl/min
16.12612710490642,207.7199017199017,257.95823095823096,1.6341402913041931,No,Jurkat,Qside = 15 μl/min
16.88935468897328,215.45251396648044,410.56052141527005,1.6400045122849918,No,Jurkat,Qside = 15 μl/min
17.595468288866424,222.10099337748343,1584.7814569536424,1.6454299008240907,No,Jurkat,Qside = 15 μl/min
18.370672019337054,228.96046511627907,1161.6941860465117,1.6513861399269754,No,Jurkat,Qside = 15 μl/min
18.067503510197124,226.34700315457414,752.9447949526814,1.649056759845424,No,Jurkat,Qside = 15 μl/min
18.346723966959175,228.75079872204472,341.46485623003196,1.6512021362639324,No,Jurkat,Qside = 15 μl/min
19.518797659891856,238.79915966386554,1446.5100840336133,1.6602077058798959,No,Jurkat,Qside = 15 μl/min
18.506697579234718,230.12130177514794,21.633136094674555,1.652431285515171,No,Jurkat,Qside = 15 μl/min
20.04510970325069,243.29979035639414,1365.5020964360588,1.6642515981494417,No,Jurkat,Qside = 15 μl/min
19.773506383859402,241.02350427350427,297.2264957264957,1.6621647476250645,No,Jurkat,Qside = 15 μl/min
20.761613187014127,249.2196261682243,1270.6752336448599,1.6697568168417636,No,Jurkat,Qside = 15 μl/min
21.842264706241757,258.37377963737794,1054.6220362622037,1.6780599487571732,No,Jurkat,Qside = 15 μl/min
20.96562156856988,250.8673469387755,686.9132653061224,1.671324305041028,No,Jurkat,Qside = 15 μl/min
22.118492860014804,260.7700810611643,1545.6764922623433,1.6801823339652806,No,Jurkat,Qside = 15 μl/min
21.997868723263824,259.7076923076923,1967.2241758241757,1.6792555244417613,No,Jurkat,Qside = 15 μl/min
22.594202576577715,264.71907216494844,1684.7061855670104,1.683837425787006,No,Jurkat,Qside = 15 μl/min
24.926733159930972,376.6575342465753,48.64187866927593,1.7017593078976716,No,Jurkat,Qside = 15 μl/min
22.604450646530637,397.62373737373736,295.01262626262627,1.6839161663200857,No,Jurkat,Qside = 15 μl/min
21.811006943661887,404.3251833740831,1189.880195599022,1.6778197813012787,No,Jurkat,Qside = 15 μl/min
20.900752019496615,412.12056737588654,1139.3528368794325,1.670825883104201,No,Jurkat,Qside = 15 μl/min
