,x_location,y_location,area
0,2031.390887290168,85.81774580335731,417
1,1083.9664179104477,88.67910447761194,268
2,798.8888888888889,93.30555555555556,180
3,198.03571428571428,96.27380952380952,168
4,851.6801470588235,96.06985294117646,272
5,1353.850136239782,97.81471389645776,367
6,1850.8566308243728,100.59856630824373,279
7,1756.7181008902078,101.96142433234421,337
8,1016.3907284768212,103.16225165562913,302
9,993.219512195122,105.21646341463415,328
10,929.7284768211921,110.1832229580574,453
11,1255.2652582159624,112.0,426
12,227.1401098901099,117.57967032967034,364
13,1735.4454277286136,128.40117994100294,339
14,1542.1174004192872,129.44654088050314,477
15,823.4635761589404,145.12582781456953,453
16,47.1241134751773,149.55673758865248,282
17,844.2875264270613,511.4122621564482,473
18,17.83977900552486,527.9723756906077,181
19,180.48011363636363,530.8125,352
20,137.2,541.15,20
21,1057.9753086419753,555.0246913580247,243
22,895.7142857142857,559.0625,224
