,x_location,y_location,area
0,1046.6923076923076,72.5,26
1,1622.935606060606,92.08333333333333,264
2,1141.6549295774648,97.49295774647888,284
3,658.1866666666666,99.54133333333333,375
4,162.89361702127658,103.42553191489361,188
5,556.6348547717843,107.62240663900415,241
6,833.0797872340426,110.4627659574468,188
7,1162.548872180451,110.1453634085213,399
8,1358.9354838709678,111.54838709677419,403
9,418.1303116147309,116.07648725212465,353
10,638.5420560747664,118.31152647975078,321
11,1829.1278772378516,118.43989769820972,391
12,1405.3971291866028,118.67224880382776,418
13,1301.9250720461096,121.21325648414985,347
14,1607.9113924050632,122.48860759493671,395
15,47.653992395437264,122.22433460076046,263
16,479.2945205479452,126.91324200913242,438
17,1929.203125,127.47135416666667,384
18,21.0375,133.0625,400
19,585.5700483091788,133.1304347826087,414
20,53.90602409638554,136.85542168674698,415
21,1926.553459119497,146.22012578616352,318
22,795.073482428115,523.035143769968,313
23,1659.4520547945206,542.6609589041096,292
24,1724.2907488986784,551.5947136563876,227
25,2029.864406779661,558.4915254237288,118
26,117.70520231213872,565.7745664739884,173
