,x_location,y_location,area
0,1983.5578947368422,72.74736842105263,95
1,1367.063829787234,87.41843971631205,282
2,1817.1371428571429,87.17142857142858,175
3,630.2261904761905,96.41269841269842,252
4,386.02866242038215,98.78662420382166,314
5,2029.8525798525798,102.46437346437347,407
6,764.155303030303,103.46212121212122,264
7,1561.6896551724137,104.6896551724138,145
8,730.8177966101695,106.57203389830508,236
9,311.5111111111111,107.72888888888889,225
10,465.9646464646465,109.89141414141415,396
11,2011.1041666666667,109.55,240
12,1273.2366666666667,115.24,300
13,1141.0251046025105,118.98744769874477,239
14,89.40677966101696,120.7316384180791,354
15,1227.9532710280373,121.3613707165109,321
16,1955.6911764705883,122.1470588235294,408
17,1375.3690807799444,122.19777158774373,718
18,1746.5159420289856,131.2608695652174,345
19,1324.1755102040815,132.01632653061225,245
20,963.8510242085661,158.90316573556797,537
21,103.38327526132404,511.3693379790941,287
22,1411.704678362573,521.1081871345029,342
23,1186.6862170087977,546.9853372434018,341
24,762.4477124183006,547.9411764705883,306
25,1572.0575842696628,549.4859550561798,712
26,1937.2567567567567,550.1171171171171,222
27,1406.1737451737451,551.096525096525,259
28,2017.2125,580.1208333333333,240
