conc,cols,rows,impedance,prefocusing,cell,Qcenter = 7.5 μl/min
15.19386060315142,546.7969707897583,1762.4572664983773,1.6269772682512835,Yes,Jurkat,Qside = 15 μl/min
14.519578467211822,555.1278475127848,808.4616457461645,1.6217964551738986,Yes,Jurkat,Qside = 15 μl/min
14.44968683168812,556.0203488372093,101.33042635658914,1.621259446286934,Yes,Jurkat,Qside = 15 μl/min
14.47698349607696,555.6710069444445,1408.3411458333333,1.6214691788429323,Yes,Jurkat,Qside = 15 μl/min
14.824606702960947,87.23457730388424,41.17936024371668,1.6241401243718652,Yes,Jurkat,Qside = 15 μl/min
15.174339151087118,94.10761485210824,1189.8942731277532,1.6268272761504203,Yes,Jurkat,Qside = 15 μl/min
16.119069274997855,108.96827841084078,367.7188173698799,1.634086062820982,Yes,Jurkat,Qside = 15 μl/min
14.971455806935918,90.16419491525424,654.0635593220339,1.625268432119802,Yes,Jurkat,Qside = 15 μl/min
15.36575121854138,97.39017543859649,1909.9677192982456,1.6282979812001015,Yes,Jurkat,Qside = 15 μl/min
15.367630703133877,97.42021276595744,1255.8617021276596,1.628312422125994,Yes,Jurkat,Qside = 15 μl/min
17.76731046525789,521.9248312776356,521.4705608564115,1.6467502415942856,Yes,Jurkat,Qside = 15 μl/min
16.946715887300705,529.0731630400504,881.5707978555661,1.6404452441842805,Yes,Jurkat,Qside = 15 μl/min
16.002598291434353,538.329976430255,1302.3201199914292,1.633191163842321,Yes,Jurkat,Qside = 15 μl/min
14.664674328543594,553.4679376083188,608.2327308739787,1.6229112919696482,Yes,Jurkat,Qside = 15 μl/min
16.120383997526933,537.1573875802998,1086.2537473233406,1.634096164425798,Yes,Jurkat,Qside = 15 μl/min
15.144225423277476,547.5673438675695,720.5966892400301,1.6265958988284812,Yes,Jurkat,Qside = 15 μl/min
14.505575551645556,79.88293487221765,198.2605111294312,1.6216888644722909,Yes,Jurkat,Qside = 15 μl/min
16.430354526005136,112.64835164835164,1279.705448397756,1.636477807482834,Yes,Jurkat,Qside = 15 μl/min
16.88522776401139,118.08849285604548,1542.9133507451222,1.6399728032633931,Yes,Jurkat,Qside = 15 μl/min
15.459280552931183,98.47655894401456,1780.9030496131088,1.6290166091644191,Yes,Jurkat,Qside = 15 μl/min
15.23165554408282,94.639475600874,675.1187181354697,1.627267663790183,Yes,Jurkat,Qside = 15 μl/min
16.11488118378566,108.34612000703854,1955.8843920464544,1.6340538838315577,Yes,Jurkat,Qside = 15 μl/min
17.13910548026579,120.83368244658568,260.18998743192293,1.6419234600023482,Yes,Jurkat,Qside = 15 μl/min
15.346087681811207,96.46528332003192,1027.0837988826815,1.6281468973988122,Yes,Jurkat,Qside = 15 μl/min
17.51479724175455,124.92336035372143,1650.9240972733971,1.644810068867159,Yes,Jurkat,Qside = 15 μl/min
17.172750585317335,121.21913580246914,842.9002057613169,1.6421819704847562,Yes,Jurkat,Qside = 15 μl/min
14.395257207603144,557.2352941176471,989.7129928894636,1.620841238991758,Yes,Jurkat,Qside = 15 μl/min
14.180454466678862,560.3484107579462,890.6381418092909,1.6191908128720036,Yes,Jurkat,Qside = 15 μl/min
14.253088413233831,559.192118226601,781.5673234811165,1.6197488921686616,Yes,Jurkat,Qside = 15 μl/min
14.439378230585374,556.6471990464839,1810.4266984505364,1.621180240665791,Yes,Jurkat,Qside = 15 μl/min
15.064676772682407,92.0419527078566,237.74980930587336,1.6259846907490665,Yes,Jurkat,Qside = 15 μl/min
15.505772121717644,99.67691637630662,837.2876306620209,1.6293738248086114,Yes,Jurkat,Qside = 15 μl/min
15.296437629321805,96.21233045622688,1366.4806411837235,1.6277654137030124,Yes,Jurkat,Qside = 15 μl/min
15.14591152760152,93.58940936863544,126.40651731160897,1.6266088539267498,Yes,Jurkat,Qside = 15 μl/min
17.03669961354496,120.25805461798096,1241.9196072414852,1.641136629645692,Yes,Jurkat,Qside = 15 μl/min
16.03486980709709,107.6186750130412,580.2691705790297,1.63343912041934,Yes,Jurkat,Qside = 15 μl/min
16.474015033411813,113.6216960352423,1004.88436123348,1.636813270808468,Yes,Jurkat,Qside = 15 μl/min
16.538904335476154,114.4505928853755,1870.7628458498025,1.637311844516414,Yes,Jurkat,Qside = 15 μl/min
16.467192451049502,533.5232295895354,1610.3008570139827,1.6367608498380162,Yes,Jurkat,Qside = 15 μl/min
14.793022772875846,552.3069921390153,1967.2892014894496,1.6238974508242527,Yes,Jurkat,Qside = 15 μl/min
15.105022343472056,548.4617563739376,194.16359773371104,1.6262946839249504,Yes,Jurkat,Qside = 15 μl/min
13.8538268100743,565.5829181494662,87.78149466192171,1.6166811856038654,Yes,Jurkat,Qside = 15 μl/min
14.816507432086548,87.62280150753769,489.21922110552765,1.6240778940290654,Yes,Jurkat,Qside = 15 μl/min
15.086755898993538,93.0519303040656,51.53775196446874,1.6261543346121217,Yes,Jurkat,Qside = 15 μl/min
15.323892217297823,97.0517503805175,1613.2602739726028,1.627976359656997,Yes,Jurkat,Qside = 15 μl/min
18.047355850047875,131.82693377851976,1710.9435169727324,1.6489019563060503,Yes,Jurkat,Qside = 15 μl/min
14.781824541408463,552.0480359678182,1011.7283483199244,1.6238114097726848,Yes,Jurkat,Qside = 15 μl/min
15.30830247994398,545.6439651910707,293.0136208853576,1.6278565766895254,Yes,Jurkat,Qside = 15 μl/min
15.201271284792275,546.9699103713189,1716.7477592829705,1.6270342078531372,Yes,Jurkat,Qside = 15 μl/min
14.942352553954208,549.9880239520958,131.1816367265469,1.6250448187306792,Yes,Jurkat,Qside = 15 μl/min
13.865762282648076,565.1165594855305,72.93488745980707,1.6167728912106123,Yes,Jurkat,Qside = 15 μl/min
15.636292911200906,101.15067307692308,127.34105769230769,1.6303766747685666,Yes,Jurkat,Qside = 15 μl/min
14.197263792556726,67.0,1255.2067415730337,1.6193199664869198,Yes,Jurkat,Qside = 15 μl/min
15.449512964845203,98.21025858414582,681.278649145118,1.62894156038974,Yes,Jurkat,Qside = 15 μl/min
16.245291057225995,110.07882352941176,848.1944117647059,1.635055881573643,Yes,Jurkat,Qside = 15 μl/min
14.893837929873609,88.6903409090909,1759.3551136363635,1.6246720590422872,Yes,Jurkat,Qside = 15 μl/min
15.779206848294578,103.3627187079408,1085.4751009421266,1.631474746858529,Yes,Jurkat,Qside = 15 μl/min
15.910877890688056,105.292817679558,1920.2230662983425,1.632486434729207,Yes,Jurkat,Qside = 15 μl/min
16.634992332441286,115.2192279679534,1480.225418790969,1.638050131836696,Yes,Jurkat,Qside = 15 μl/min
16.734704098046954,116.49467275494672,1734.3995433789955,1.6388162622021387,Yes,Jurkat,Qside = 15 μl/min
13.449393268821014,572.6093210586881,298.921749136939,1.6135737407113226,Yes,Jurkat,Qside = 15 μl/min
15.355701668176058,96.22966921854687,490.5231835909288,1.628220765982347,Yes,Jurkat,Qside = 15 μl/min
14.788913360310168,85.87546567323044,1409.7786056412986,1.623865876358275,Yes,Jurkat,Qside = 15 μl/min
14.317749616310216,72.0282131661442,889.2978056426332,1.6202457132894388,Yes,Jurkat,Qside = 15 μl/min
15.339135858846246,95.969109947644,121.59005235602096,1.6280934834146523,Yes,Jurkat,Qside = 15 μl/min
16.49293685917533,112.85696378830085,1141.3800835654597,1.6369586557106306,Yes,Jurkat,Qside = 15 μl/min
16.94559377299447,118.28170237405908,1034.911986103069,1.6404366224751143,Yes,Jurkat,Qside = 15 μl/min
16.180692931026545,108.6316129032258,616.2122580645162,1.6345595451008958,Yes,Jurkat,Qside = 15 μl/min
17.94293891784668,129.2818210965053,1690.6101314523885,1.648099674028329,Yes,Jurkat,Qside = 15 μl/min
16.845017233837158,530.4111709286676,193.4111709286676,1.639663847665326,Yes,Jurkat,Qside = 15 μl/min
14.51471179753318,556.2312231759656,710.7805793991416,1.6217590623607565,Yes,Jurkat,Qside = 15 μl/min
14.55439022079524,555.6539923954373,301.3929024081115,1.6220639295419692,Yes,Jurkat,Qside = 15 μl/min
14.390796961636417,557.9351011863224,489.7759944173064,1.6208069689148852,Yes,Jurkat,Qside = 15 μl/min
13.405653817342708,573.9501510574019,383.6533232628399,1.6132376708228615,Yes,Jurkat,Qside = 15 μl/min
12.990776884806492,583.8023369036027,1294.8373904576436,1.6100499846555665,Yes,Jurkat,Qside = 15 μl/min
15.444177398787325,97.68373367045932,692.0025284450063,1.6289005648347126,Yes,Jurkat,Qside = 15 μl/min
15.580140751460272,99.77916666666668,1360.1125,1.6299452324568071,Yes,Jurkat,Qside = 15 μl/min
15.40998711558136,97.08455506307536,555.6812137742926,1.6286378655032134,Yes,Jurkat,Qside = 15 μl/min
16.442998362228654,112.09714950552647,900.7070971495056,1.6365749557662657,Yes,Jurkat,Qside = 15 μl/min
16.20446145381775,108.76701030927836,1833.84412371134,1.634742169357336,Yes,Jurkat,Qside = 15 μl/min
15.273802021876088,94.72111111111111,341.5133333333333,1.6275914941449838,Yes,Jurkat,Qside = 15 μl/min
16.676131782630446,115.03379360465117,1942.526889534884,1.638366224745252,Yes,Jurkat,Qside = 15 μl/min
15.967609575380404,105.5136286201022,185.7972742759796,1.6329223297919566,Yes,Jurkat,Qside = 15 μl/min
16.459857824875797,112.32074074074076,1615.3414814814814,1.636704494604542,Yes,Jurkat,Qside = 15 μl/min
